is_genuine;diagonal;height_left;height_right;margin_low;margin_up;length
True;172.4;103.41;103.85;4.01;3.15;113.45
True;171.79;103.83;103.76;3.99;3.18;112.9
True;171.42;104.65;103.63;3.99;3.05;113.08
True;171.47;103.74;104.42;4.19;2.92;113.53
True;172.13;104.15;103.93;3.97;2.87;113.31
True;172.07;104.05;103.82;3.71;3.61;113.05
True;171.82;103.82;103.61;4.42;2.9;113.02
True;171.95;104.02;103.82;4.28;3.0;113.28
True;172.03;103.59;104.09;4.49;2.85;113.44
True;171.64;104.18;103.78;3.49;3.74;113.94
True;171.71;103.99;103.47;4.49;3.04;113.07
True;172.02;103.58;103.8;3.95;3.46;112.4
True;171.56;103.42;103.64;3.77;3.04;113.3
True;171.25;104.23;103.93;4.36;2.68;113.5
True;171.66;103.75;104.07;4.01;2.98;113.47
True;171.88;104.12;103.86;4.07;3.41;113.5
True;171.88;103.91;103.88;4.05;3.16;113.24
True;172.24;104.03;103.86;3.71;3.01;113.03
True;171.9;103.46;104.22;3.99;3.0;113.08
True;171.42;103.82;103.84;4.01;2.96;113.16
True;171.98;103.92;103.57;4.14;2.75;113.13
True;171.79;103.91;103.94;3.44;2.96;113.39
True;172.08;104.49;103.96;4.38;3.14;113.42
True;172.41;104.1;104.27;3.8;3.31;112.68
True;172.33;103.97;103.66;3.97;3.07;112.97
True;171.6;103.55;103.74;3.79;2.86;112.82
True;171.98;104.16;103.76;4.08;2.94;113.08
True;171.81;103.84;103.66;4.35;2.93;112.97
True;171.84;103.59;103.98;4.09;3.05;113.09
True;171.94;103.89;103.45;;3.25;112.79
True;171.35;103.58;103.59;4.08;2.85;114.09
True;172.49;103.69;103.79;3.81;2.77;113.09
True;172.26;103.85;103.7;4.16;3.2;112.35
True;171.65;103.3;103.55;4.14;3.37;112.87
True;171.84;104.09;103.03;4.11;2.77;113.18
True;171.71;103.43;103.61;4.11;2.97;112.95
True;171.58;103.71;103.57;4.49;3.14;113.65
True;171.89;103.42;103.35;4.92;3.02;113.2
True;171.85;103.87;103.27;4.09;2.95;113.09
True;172.08;103.93;103.85;4.3;3.26;113.65
True;172.52;104.32;103.86;3.7;3.14;113.36
True;171.85;103.91;103.91;4.5;3.21;113.09
True;171.98;104.32;103.71;4.25;3.06;113.46
True;172.01;104.58;103.89;3.96;2.87;113.28
True;171.7;103.75;103.4;4.47;3.28;113.57
True;171.93;103.65;103.56;4.12;2.77;112.95
True;171.94;103.49;103.82;4.24;3.19;113.05
True;171.81;103.76;103.61;4.31;3.08;112.74
True;172.08;104.01;104.5;4.3;2.97;113.05
True;171.81;104.14;103.35;4.03;3.03;112.83
True;172.05;103.75;103.98;4.1;3.12;113.27
True;172.34;104.26;103.76;4.01;3.17;113.28
True;172.0;103.83;103.82;4.64;3.32;113.0
True;171.57;104.61;103.91;4.49;3.16;113.42
True;171.86;103.6;103.99;3.65;3.15;113.56
True;171.54;103.75;103.62;4.59;2.85;113.44
True;171.93;104.07;104.18;;3.14;113.08
True;171.53;104.02;103.87;4.1;3.03;113.32
True;171.55;103.35;103.69;4.31;3.19;113.42
True;172.05;103.69;103.89;4.42;3.15;112.67
True;172.0;104.14;103.98;3.87;3.12;113.5
True;171.96;103.95;103.81;4.23;3.09;113.27
True;171.85;103.66;103.9;4.16;2.98;112.91
True;172.27;103.95;103.75;3.94;3.19;114.04
True;172.69;103.88;104.06;4.27;3.2;113.22
True;171.91;104.23;104.14;3.59;3.11;113.42
True;171.65;103.77;103.95;4.18;3.16;113.26
True;172.07;103.72;103.44;4.03;2.9;113.55
True;172.03;103.96;103.58;4.06;2.85;113.02
True;171.8;104.22;103.74;3.66;3.08;113.53
True;171.82;104.23;104.05;4.21;3.2;112.89
True;172.24;103.97;103.69;4.32;2.98;113.26
True;171.88;103.61;103.46;3.52;2.99;112.94
True;172.23;104.18;103.71;3.93;3.32;113.48
True;172.11;104.36;104.01;4.14;3.17;112.59
True;171.92;103.6;103.36;4.23;2.93;113.51
True;171.89;103.66;103.28;3.79;3.03;112.74
True;171.92;103.78;103.61;4.02;3.31;112.91
True;172.23;104.12;103.75;3.91;3.02;113.02
True;171.81;103.22;103.92;3.99;3.06;113.32
True;171.62;104.24;103.85;4.08;2.9;112.87
True;171.89;103.63;104.12;4.37;3.06;113.38
True;171.5;104.03;103.97;3.26;3.54;113.24
True;172.22;104.07;103.98;4.01;2.83;112.92
True;171.93;103.98;104.07;4.41;2.96;113.02
True;171.96;104.34;103.85;3.95;3.28;113.73
True;172.0;104.05;103.67;4.02;3.18;113.4
True;171.66;103.43;103.54;4.38;3.51;113.2
True;171.27;104.14;103.78;3.91;2.69;112.81
True;171.84;103.77;103.98;4.61;2.99;113.59
True;171.54;104.36;103.28;3.99;3.21;113.43
True;172.27;104.12;103.96;4.12;2.74;113.12
True;171.87;104.71;103.85;4.36;2.71;113.71
True;172.06;104.19;103.59;4.39;3.22;113.69
True;171.6;104.02;103.9;4.2;3.15;113.15
True;172.43;104.05;104.02;4.09;2.93;113.6
True;172.46;103.81;103.52;4.05;3.16;112.6
True;172.47;103.82;103.59;3.85;2.77;113.17
True;171.52;104.11;104.23;4.73;3.08;113.33
True;172.18;104.46;103.8;4.31;2.84;113.58
True;172.04;103.82;103.79;4.07;3.2;114.13
True;171.8;104.31;103.78;3.79;3.12;112.78
True;171.65;103.59;103.83;3.97;3.12;113.04
True;172.38;103.72;103.88;4.36;3.05;113.19
True;172.35;103.72;103.67;4.2;3.07;112.87
True;172.46;103.99;104.04;4.14;2.68;112.93
True;171.91;103.97;103.6;4.66;3.03;114.04
True;171.72;103.91;104.57;4.08;2.79;113.44
True;172.07;103.8;104.38;;3.02;112.93
True;171.97;104.29;104.04;4.46;2.97;113.81
True;171.96;104.16;103.67;3.98;3.23;112.97
True;172.08;103.95;103.7;3.76;2.97;113.52
True;171.75;104.03;103.85;4.36;2.96;113.22
True;171.57;103.98;103.4;4.05;2.74;113.7
True;171.88;104.04;104.08;3.8;3.01;113.6
True;172.05;103.88;103.76;4.2;3.15;113.94
True;172.15;103.74;103.92;4.64;3.35;113.19
True;172.26;104.46;103.6;4.18;3.31;113.0
True;172.31;103.89;103.78;4.49;3.06;113.34
True;172.09;104.05;104.26;4.1;2.95;113.68
True;171.9;103.4;103.45;4.09;3.33;112.97
True;172.38;103.98;104.4;3.81;2.8;112.9
True;171.81;103.53;103.76;3.91;2.87;113.52
True;172.31;104.05;103.51;4.43;2.86;113.18
True;172.2;104.06;103.97;4.16;3.17;112.47
True;172.21;103.32;103.99;4.11;3.04;113.46
True;171.28;104.2;103.89;4.29;3.06;112.56
True;171.62;104.41;103.71;4.13;3.21;114.03
True;172.4;103.51;103.52;3.68;3.16;113.35
True;172.26;104.09;103.56;3.53;2.99;113.1
True;172.58;104.03;103.9;3.79;2.92;113.57
True;171.55;104.4;103.17;4.54;2.83;113.3
True;172.13;104.26;103.88;3.97;3.0;113.11
True;171.75;103.63;102.97;4.46;2.77;113.22
True;172.09;104.19;103.5;4.16;3.04;112.94
True;171.79;104.57;104.04;4.26;3.15;113.46
True;171.66;104.16;103.94;4.05;3.04;113.09
True;171.8;104.17;103.74;4.03;2.92;113.04
True;172.37;103.31;103.5;3.79;3.13;112.43
True;171.94;104.44;104.13;3.32;3.02;113.49
True;171.94;103.97;103.84;3.95;3.05;112.88
True;171.84;103.71;103.9;4.61;2.82;112.68
True;172.4;104.13;103.84;4.25;3.09;113.29
True;172.21;103.48;104.04;4.4;3.0;113.15
True;172.74;104.05;104.17;3.68;3.38;113.12
True;172.1;104.05;103.84;3.76;3.17;113.44
True;172.18;104.02;103.54;4.17;3.49;113.64
True;171.95;103.73;103.77;4.09;3.02;113.6
True;171.86;104.7;103.62;4.01;3.34;112.89
True;171.78;103.74;103.55;3.86;2.87;113.41
True;172.35;103.73;102.95;4.49;3.37;112.49
True;171.94;104.34;103.99;4.27;2.87;113.14
True;172.22;103.59;103.81;3.47;3.34;113.23
True;171.99;103.98;103.73;4.34;3.2;113.05
True;171.45;103.66;103.8;;3.62;113.27
True;171.9;104.14;103.75;4.56;2.97;113.0
True;171.9;104.42;104.02;4.38;3.1;112.87
True;171.97;104.01;103.41;3.8;2.96;112.85
True;171.71;104.27;104.19;3.56;3.15;112.71
True;172.11;103.98;104.02;4.17;3.24;112.96
True;172.33;104.18;104.04;4.29;2.99;114.08
True;171.88;103.83;103.31;4.36;3.07;113.83
True;172.16;104.04;104.02;4.06;3.08;113.02
True;172.18;103.68;103.14;4.16;3.18;113.93
True;172.3;104.34;103.93;3.98;3.33;113.08
True;171.59;103.8;104.08;4.18;3.17;113.04
True;172.23;103.25;103.97;4.01;3.38;113.9
True;172.12;103.76;103.66;4.27;2.95;113.4
True;171.78;103.52;103.69;4.31;2.85;113.59
True;171.59;104.06;103.85;4.41;3.29;113.49
True;172.26;103.75;103.87;3.95;3.1;113.08
True;172.1;103.61;103.79;4.86;3.14;112.89
True;172.05;104.08;103.66;4.49;3.24;113.23
True;171.74;104.43;103.09;4.23;3.15;113.19
True;172.37;104.32;103.52;3.96;3.11;112.84
True;172.19;104.07;103.71;4.0;2.82;112.71
True;172.11;103.33;103.8;4.55;2.91;113.17
True;171.26;103.59;103.8;4.11;3.25;113.03
True;172.04;103.67;103.6;4.09;3.14;112.99
True;171.79;103.88;103.7;4.1;3.12;113.42
True;171.97;104.05;103.82;4.09;2.88;112.67
True;172.12;103.2;103.92;4.46;3.26;113.44
True;171.29;104.22;104.16;4.37;3.14;113.3
True;171.84;103.81;103.83;4.33;2.86;113.14
True;171.69;103.8;104.1;4.32;2.69;113.52
True;172.5;104.54;103.78;3.99;3.1;112.82
True;172.28;103.63;103.97;3.79;2.94;112.9
True;172.32;103.22;104.0;4.01;3.08;112.87
True;172.76;104.22;104.0;4.2;3.27;113.69
True;171.34;104.26;104.06;3.77;3.2;113.91
True;172.26;104.16;103.2;4.55;3.35;113.23
True;171.97;103.55;104.2;4.21;3.12;113.2
True;171.77;103.62;103.32;3.9;3.17;113.45
True;171.85;104.1;104.16;4.18;3.06;113.19
True;172.19;103.96;104.03;3.95;3.2;112.71
True;172.23;104.21;103.97;3.74;2.9;113.4
True;171.85;104.07;103.9;4.8;3.46;113.73
True;171.86;103.6;104.09;3.9;2.8;113.18
True;171.83;104.14;104.06;;3.02;112.36
True;171.74;103.95;103.78;4.74;3.29;113.04
True;172.17;103.61;104.33;3.39;2.82;112.79
True;171.57;104.09;103.58;3.99;3.23;112.98
True;171.99;103.7;103.59;4.37;3.12;112.85
True;171.94;103.91;103.99;4.02;2.94;113.06
True;172.45;103.97;104.32;4.15;3.23;113.45
True;172.12;104.03;104.02;4.38;2.83;113.03
True;171.67;103.74;103.7;4.01;2.87;113.29
True;172.38;103.45;104.11;4.72;3.01;113.19
True;171.8;103.26;102.82;;2.95;113.22
True;171.68;104.27;104.07;4.08;3.34;113.57
True;172.07;104.33;104.33;4.41;3.39;113.39
True;172.17;104.21;103.87;4.35;2.98;113.66
True;171.82;103.49;103.47;4.79;3.11;113.41
True;171.85;103.65;103.55;4.48;3.31;112.89
True;172.19;104.03;104.25;4.17;2.81;112.94
True;171.71;103.53;103.78;3.89;3.03;113.51
True;172.35;103.62;103.78;4.38;2.86;113.28
True;172.27;103.71;103.64;4.64;2.67;113.63
True;171.99;103.75;103.53;3.79;2.81;112.52
True;171.91;103.97;103.81;3.96;3.03;112.64
True;172.06;103.92;103.42;4.28;3.0;113.41
True;171.75;104.12;104.1;3.85;3.24;113.3
True;172.15;104.02;103.94;3.96;2.87;112.38
True;171.95;103.94;103.8;4.1;3.41;113.38
True;171.48;103.27;103.42;3.84;3.04;113.56
True;171.47;104.3;104.01;4.32;2.68;113.07
True;171.88;103.93;103.72;4.88;3.26;113.11
True;172.11;103.98;104.33;4.3;2.91;112.72
True;172.06;104.21;103.88;4.63;3.22;113.7
True;171.6;104.22;104.11;4.25;3.29;113.4
True;172.19;104.05;103.54;3.8;3.24;112.84
True;171.52;103.74;104.1;4.47;2.87;113.58
True;171.81;104.17;103.72;4.17;3.05;112.49
True;171.62;104.11;103.71;4.33;3.14;113.14
True;172.08;104.16;104.17;3.54;3.29;112.71
True;171.86;104.15;103.5;4.31;2.92;113.87
True;172.29;103.73;103.55;3.84;3.23;113.9
True;171.85;103.64;103.63;3.73;3.29;112.95
True;171.99;103.9;104.21;4.18;3.07;113.01
True;172.02;104.54;103.74;3.96;2.94;113.51
True;172.47;103.57;103.89;4.6;3.2;112.93
True;171.92;103.83;103.76;;3.23;113.29
True;172.27;103.78;103.86;4.25;2.86;112.73
True;172.04;103.99;104.12;4.2;3.02;113.16
True;171.92;104.12;104.15;3.83;2.88;112.65
True;172.21;104.22;103.57;3.57;3.17;112.43
True;172.08;104.4;103.94;4.22;2.97;113.08
True;171.85;103.93;103.81;4.36;3.12;112.82
True;171.77;103.79;104.11;3.92;3.18;113.33
True;172.09;103.14;103.81;4.88;3.01;113.69
True;172.5;103.81;103.83;4.19;3.01;113.18
True;171.52;103.97;103.81;4.08;3.07;112.74
True;172.34;104.54;103.56;4.04;3.42;112.93
True;171.87;103.99;104.03;4.42;2.89;112.72
True;172.12;103.9;104.32;3.83;3.03;113.56
True;172.43;103.83;104.13;3.72;2.81;113.27
True;171.68;103.77;103.82;4.24;2.86;113.6
True;171.54;104.27;104.01;4.63;3.05;113.09
True;171.46;103.83;103.95;4.21;3.15;113.59
True;171.65;103.22;104.11;3.51;3.04;113.4
True;172.02;103.45;103.79;3.91;3.0;113.12
True;172.3;103.88;103.85;4.22;3.09;113.1
True;171.83;104.65;103.66;3.83;2.95;113.28
True;172.1;103.93;103.43;3.96;3.13;113.38
True;172.24;104.22;103.67;4.3;3.33;113.13
True;171.87;103.99;104.02;4.23;3.02;113.0
True;172.25;104.14;103.76;3.84;2.81;112.72
True;172.47;103.87;104.16;4.63;3.18;112.98
True;172.58;103.99;103.63;4.43;3.07;112.79
True;172.07;104.09;103.7;4.11;3.0;113.19
True;172.32;103.99;104.01;4.22;2.95;113.08
True;172.1;104.16;104.18;4.03;3.08;112.65
True;171.99;103.6;103.43;4.57;2.96;113.09
True;171.91;103.99;103.81;4.0;2.88;113.02
True;171.51;104.34;103.49;4.29;3.03;113.42
True;172.22;103.51;103.99;3.67;3.06;112.86
True;172.05;104.11;104.14;4.73;2.73;113.3
True;172.07;104.35;104.43;4.1;3.02;112.76
True;171.74;103.74;103.78;4.43;3.14;113.02
True;171.75;104.13;103.91;4.24;2.97;113.33
True;171.91;103.83;103.68;4.05;2.86;113.41
True;172.1;104.42;103.6;4.18;2.89;113.32
True;171.96;104.17;103.35;4.35;3.31;113.67
True;171.42;103.47;103.82;4.35;3.05;112.7
True;171.85;103.86;104.08;4.23;3.36;113.01
True;172.05;103.79;104.17;4.08;3.12;112.77
True;172.0;103.85;104.04;3.75;3.45;113.73
True;171.99;104.12;104.18;4.41;2.75;113.18
True;172.4;104.17;104.09;4.46;3.02;113.16
True;171.95;103.44;103.8;4.08;3.19;112.43
True;171.53;104.56;103.9;3.99;3.08;113.15
True;171.85;103.7;103.96;;3.0;113.36
True;172.33;103.81;103.67;4.58;2.87;113.2
True;171.8;103.96;103.87;3.97;2.65;112.68
True;171.59;103.8;103.95;4.09;2.89;113.27
True;171.69;104.3;103.94;4.27;2.96;113.43
True;172.26;103.88;104.15;4.3;2.98;113.24
True;172.52;103.9;104.03;3.97;2.98;113.3
True;171.9;104.21;104.21;4.77;3.38;113.2
True;171.78;103.94;103.84;3.55;2.97;113.13
True;171.7;103.77;103.88;4.1;2.96;112.91
True;172.53;103.97;103.28;4.61;3.41;113.25
True;171.54;103.93;103.49;4.08;3.34;113.13
True;172.32;103.38;103.74;4.43;2.77;112.98
True;172.46;103.78;103.54;3.89;3.2;113.05
True;171.87;103.77;104.23;4.1;3.08;112.44
True;172.08;104.17;103.48;4.62;2.87;113.52
True;171.93;104.4;103.4;3.87;3.15;113.48
True;172.06;103.82;103.73;4.18;2.6;112.64
True;171.81;103.64;104.15;4.17;2.81;113.29
True;172.21;103.8;103.23;3.7;2.98;112.95
True;171.96;104.18;104.14;3.35;2.7;113.56
True;172.3;103.82;104.09;4.18;3.22;113.23
True;171.93;103.58;104.02;4.14;2.86;113.47
True;172.33;103.64;104.15;4.39;2.93;112.43
True;172.04;103.95;104.09;4.48;2.61;112.94
True;171.36;103.59;103.68;4.44;3.32;113.23
True;171.61;103.73;104.01;4.29;2.93;112.76
True;172.19;104.09;103.82;3.82;3.04;113.13
True;171.62;103.4;104.05;3.53;2.96;112.72
True;172.4;104.32;103.6;4.13;2.92;113.4
True;172.29;103.83;103.25;3.62;2.99;113.13
True;171.57;103.92;104.03;4.59;3.14;113.45
True;171.72;104.15;103.75;4.1;2.99;113.24
True;171.73;104.17;104.02;3.64;2.64;112.72
True;171.65;103.58;104.21;3.91;3.3;113.42
True;172.46;103.64;103.53;4.41;3.4;113.75
True;172.1;103.99;104.02;4.19;3.21;113.12
True;171.91;104.05;103.97;3.88;3.12;113.62
True;171.43;103.49;103.99;4.07;2.94;113.07
True;171.65;104.29;103.81;4.26;3.05;113.58
True;172.07;104.49;103.52;4.24;3.0;113.06
True;171.54;104.64;103.06;3.54;3.09;112.82
True;171.74;104.53;103.38;4.39;3.0;112.85
True;171.94;104.34;103.71;3.67;3.17;112.68
True;172.06;104.24;103.66;4.24;3.1;113.02
True;172.15;103.63;103.93;4.33;3.04;113.36
True;171.95;104.08;103.91;4.16;2.91;113.26
True;171.75;103.95;103.36;4.57;3.25;113.08
True;172.28;104.62;103.8;4.08;3.08;113.26
True;171.71;104.22;103.72;4.35;3.29;113.51
True;171.65;103.5;103.24;3.82;2.56;112.98
True;171.49;104.02;103.9;4.37;3.11;112.93
True;172.16;103.56;103.64;4.24;3.01;113.38
True;172.37;104.19;104.58;4.25;2.82;112.88
True;172.42;104.07;103.73;4.23;3.11;113.27
True;172.21;104.0;103.86;4.05;2.82;113.74
True;171.66;103.65;103.44;3.26;2.99;112.89
True;171.55;103.68;104.27;4.08;2.84;112.95
True;171.79;103.87;103.95;4.54;3.01;112.45
True;171.96;104.19;104.14;4.3;3.04;113.48
True;171.67;104.57;103.43;3.57;3.25;112.76
True;171.82;104.33;103.83;3.92;2.73;112.99
True;172.47;103.66;103.92;3.59;3.08;113.45
True;172.15;104.18;103.53;3.92;3.3;113.42
True;171.87;104.29;103.53;3.91;2.89;112.91
True;171.52;104.08;104.06;4.41;3.36;113.32
True;171.63;104.3;103.75;3.62;3.22;113.5
True;172.45;104.72;104.17;4.18;2.83;113.75
True;172.3;104.23;104.03;4.12;3.06;113.23
True;171.95;104.03;103.68;4.11;2.75;113.62
True;172.19;103.68;103.93;4.36;2.92;113.3
True;172.4;104.26;103.83;4.31;3.01;112.82
True;171.82;103.72;104.18;4.22;2.8;113.39
True;172.5;103.39;103.99;4.45;3.06;113.48
True;172.18;103.56;104.39;3.75;3.06;113.46
True;172.06;103.96;103.72;4.18;3.15;113.17
True;172.56;103.72;103.51;;3.12;112.95
True;172.27;104.06;103.71;3.74;3.21;113.48
True;172.44;103.96;103.86;4.02;3.09;112.81
True;172.3;103.66;103.5;;3.16;112.95
True;172.3;104.12;103.89;3.55;2.93;113.68
True;172.0;103.68;104.1;3.84;3.15;112.86
True;172.44;104.11;104.25;4.53;3.18;113.41
True;172.73;104.02;104.18;3.74;3.2;113.52
True;172.02;104.23;103.97;4.3;2.93;113.79
True;171.56;103.97;103.96;4.12;3.32;113.43
True;171.89;103.99;103.45;4.12;3.1;113.0
True;171.19;103.95;103.73;3.96;2.94;113.25
True;171.53;103.53;103.63;4.04;2.96;112.76
True;171.7;104.32;104.07;4.21;2.67;112.73
True;171.7;103.74;103.89;4.43;2.8;112.59
True;171.91;103.97;103.98;4.23;3.01;112.98
True;171.91;103.99;103.5;3.41;2.92;113.02
True;171.82;103.64;104.21;4.08;3.0;112.97
True;171.86;103.77;103.93;4.83;3.17;113.35
True;172.09;103.78;104.22;4.16;3.18;113.3
True;172.12;104.08;103.93;4.72;3.18;113.38
True;172.14;103.8;103.56;3.94;3.12;113.38
True;171.47;104.46;104.3;4.12;3.06;113.59
True;171.71;103.71;103.36;4.1;3.17;113.07
True;172.04;103.82;103.99;3.88;3.14;113.23
True;171.55;103.92;103.77;4.12;3.25;113.19
True;171.88;104.58;104.31;4.88;2.82;113.71
True;171.65;103.88;103.59;3.94;3.05;113.28
True;172.07;104.07;103.67;3.82;3.17;113.91
True;171.99;103.74;103.46;4.0;2.76;113.33
True;172.45;103.87;104.4;3.75;3.05;113.62
True;171.93;103.88;104.35;4.26;3.29;112.7
True;172.03;103.73;104.19;3.75;2.87;112.49
True;171.61;103.93;103.41;4.45;2.95;113.19
True;172.23;103.94;103.46;3.95;3.15;113.77
True;172.34;104.42;103.22;;3.01;112.97
True;172.51;104.53;103.5;4.51;3.07;113.21
True;171.59;103.86;104.33;4.12;2.84;114.0
True;172.01;103.93;103.69;3.89;3.34;113.16
True;171.92;103.91;103.93;4.34;2.91;112.4
True;172.01;104.11;103.13;4.53;2.96;113.45
True;172.17;103.79;103.54;4.07;2.78;113.03
True;171.68;103.48;103.47;3.32;3.11;112.46
True;172.54;104.05;103.78;4.34;2.93;114.14
True;172.3;104.21;104.46;3.69;3.12;113.28
True;171.7;103.57;104.2;4.22;2.81;112.71
True;172.25;104.22;103.62;3.96;3.15;112.74
True;171.75;103.48;103.94;3.76;2.97;113.28
True;172.0;104.07;103.55;3.86;3.3;114.03
True;171.64;104.45;103.97;4.16;3.23;113.67
True;172.16;103.69;103.71;3.68;3.12;113.04
True;172.01;103.95;103.77;4.16;3.1;113.19
True;171.48;103.95;103.93;4.52;2.91;113.21
True;172.19;104.14;103.59;4.11;3.08;113.81
True;172.16;103.87;103.34;4.32;2.91;113.47
True;171.55;103.5;104.51;4.61;2.95;113.31
True;171.98;103.77;103.91;4.75;3.05;113.38
True;171.8;104.06;103.57;4.06;3.14;112.98
True;171.83;103.97;104.0;3.72;3.13;113.83
True;172.36;104.34;103.7;4.22;3.08;112.96
True;171.73;104.02;103.92;4.1;3.19;112.87
True;172.58;104.17;103.13;4.64;3.17;113.05
True;171.97;104.04;104.24;4.23;2.84;113.54
True;172.26;104.08;103.86;3.93;3.01;113.44
True;172.29;103.78;103.76;4.7;3.05;113.2
True;172.02;104.36;103.64;4.12;2.82;113.38
True;171.41;104.47;104.08;3.87;3.18;113.14
True;171.95;104.25;103.64;3.24;2.81;113.42
True;171.71;104.49;103.54;3.77;3.2;113.43
True;171.87;103.86;103.27;4.14;3.14;113.32
True;171.97;103.62;103.64;4.47;2.65;113.7
True;171.81;103.53;103.96;;2.71;113.99
True;172.35;104.2;103.75;3.7;2.96;113.05
True;172.14;103.91;103.65;4.19;3.23;113.54
True;172.1;104.02;103.88;3.95;3.1;113.39
True;171.83;104.29;103.58;4.0;3.32;113.21
True;171.95;104.39;103.59;4.69;2.81;113.65
True;171.75;103.89;103.81;3.64;2.92;113.48
True;172.19;104.07;104.02;4.19;3.37;113.27
True;171.98;104.36;103.44;4.19;3.2;112.92
True;172.13;103.71;103.6;3.59;3.12;113.8
True;172.6;104.83;103.56;4.1;2.94;113.38
True;172.33;104.46;103.79;4.08;2.94;113.39
True;172.55;103.97;104.04;4.25;3.34;113.36
True;172.08;104.19;104.03;4.11;2.99;113.5
True;171.81;103.93;103.43;4.61;2.95;113.46
True;172.21;103.67;104.0;4.12;3.2;113.54
True;172.45;103.95;103.5;4.1;3.08;113.23
True;171.76;104.01;103.68;4.07;2.75;112.81
True;172.04;104.34;103.55;3.52;3.02;113.64
True;171.95;104.11;103.87;4.2;2.81;113.52
True;171.87;103.73;103.69;4.06;3.1;112.96
True;171.7;103.79;103.98;4.44;3.03;113.94
True;172.46;103.51;103.85;4.23;3.14;113.38
True;171.68;103.95;103.6;3.98;2.93;113.22
True;172.01;103.97;104.05;;2.98;113.65
True;171.82;104.27;103.55;4.21;3.2;113.28
True;171.97;104.05;104.11;4.15;2.99;113.66
True;171.82;104.12;103.95;4.18;3.01;113.47
True;171.4;103.96;103.85;4.15;2.81;113.45
True;171.87;103.87;104.27;4.44;2.94;112.95
True;172.44;103.69;104.16;3.73;3.14;112.98
True;171.95;104.09;103.73;4.34;3.07;113.49
True;171.77;104.19;103.69;4.17;2.85;112.89
True;171.43;104.42;103.41;4.06;3.13;113.26
True;172.21;103.25;103.78;4.48;3.0;113.25
True;171.91;104.34;103.73;3.71;2.95;113.69
True;171.53;103.69;103.51;3.97;3.08;112.71
True;171.36;104.15;103.76;3.44;3.31;112.76
True;172.13;103.76;103.33;4.37;3.48;113.34
True;172.12;103.66;104.22;3.81;3.04;112.97
True;171.89;104.3;103.57;3.98;2.75;112.92
True;172.02;104.42;102.91;3.86;3.12;113.43
True;172.13;103.57;103.8;4.4;3.16;113.75
True;172.09;103.61;103.9;4.58;3.26;112.88
True;171.97;103.61;103.6;4.89;3.17;112.96
True;171.88;103.61;103.9;4.4;3.0;112.97
True;171.92;103.79;103.34;3.84;2.8;113.0
True;172.32;103.69;103.6;4.24;3.29;112.74
True;172.16;104.17;103.27;4.1;3.11;113.08
True;171.9;103.94;103.38;3.67;2.87;113.28
True;172.22;104.0;103.98;3.99;3.41;112.94
True;171.73;103.77;103.95;4.25;3.08;112.75
True;172.33;103.73;103.8;3.77;2.86;113.58
True;171.76;104.04;103.88;4.18;3.21;113.15
True;171.68;104.18;103.89;4.4;3.33;113.21
True;172.38;103.64;103.81;4.46;3.14;114.07
